Time	Device Name	Type	PID	Tag	Message
Nov  7 19:35:54	Bens-iPhone	Notice	3168	AuthenticationServicesAgent(AuthenticationServicesCore)	Dealloc for 0x4d83fcc80. Cancelling any outstanding requests.
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet: <<UIInputViewSet: 0xc4a1cfcc0>; (empty)> windowScene: <_UIScreenBasedWindowScene: 0xc4a2e4000; role: _UIScreenBasedSceneSession; persistentIdentifier: 4C64A983-917E-447D-8D87-F413C1732007; activationState: UISceneActivationStateForegroundActive>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	Setting input views: <<UIInputViewSet: 0xc4a1cfcc0>; (empty)>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	updatePlacementWithPlacement: <UIInputViewSetPlacementOffScreenDownByScreenHeight>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	chainPlacementsIfNecessaryFrom, from: <UIInputViewSetPlacementOnScreenWithAccessory>, to: <UIInputViewSetPlacementOffScreenDownByScreenHeight> transition: <UIInputViewPlacementTransition: 0xc4af25040>
Nov  7 19:35:54	Bens-iPhone	Notice	48	WirelessRadioManagerd(RunningBoardServices)	Received state update for 3445 (osservice<com.apple.InputUI>, running-active-NotVisible
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Acquiring assertion targeting [app<com.companyname.photojobapp(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3463] from originator [osservice<com.apple.SpringBoard>:34] with description <RBSAssertionDescriptor| "com.apple.UIKit.KeyboardManagement.message" ID:33-34-56381 target:3463 attributes:[
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	Moving from placement: <UIInputViewSetPlacementOnScreenWithAccessory> to placement: <UIInputViewSetPlacementOffScreenDownByScreenHeight> (currentPlacement: <UIInputViewSetPlacementOnScreenWithAccessory>)
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet: <<UIInputViewSet: 0xc4a1cf780>; (empty)> windowScene: <_UIScreenBasedWindowScene: 0xc4a2e4000; role: _UIScreenBasedSceneSession; persistentIdentifier: 4C64A983-917E-447D-8D87-F413C1732007; activationState: UISceneActivationStateForegroundActive>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	Setting input views: <<UIInputViewSet: 0xc4a1cf780>; (empty)>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	Show keyboard with visual mode windowed (0)
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Assertion 33-3464-56380 (target:[app<com.apple.SafariViewService(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3464]) will be created as inactive as start-time-defining assertions exist
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Acquiring assertion targeting [app<com.apple.SafariViewService(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3464] from originator [app<com.apple.SafariViewService(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3464] with description <RBSAssertionDescriptor| "systemAnimationFence" ID:33-3464-56380 target:3464 attributes:[
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	-[_UIRemoteKeyboards signalToProxyKeyboardChanged:onCompletion:]  Signaling keyboard changed <<<_UIKeyboardChangedInformation: 0xc4acb6d00>; appId (null) bundleId (null) animation fence <BKSAnimationFenceHandle:0xc4aecd760 -> <CAFenceHandle:0xc4af44d90 name=29 fence=4400000633 usable=YES>>; position {{0, 0}, {0, 0}}; animated YES; on screen NO; tracking NO; resizing NO; local NO, dock state: Unknown, hasValidNotif: NO>; source canvas B5582372-872A-4C19-8C4D-12F0DBE20C1F; source display Main; source bundle com.apple.SafariViewService; host bundle (null); animation fence <BKSAnimationFenceHandle:0xc4aecd760 -> <CAFenceHandle:0xc4af44d90 name=29 fence=4400000633 usable=YES>>; position {{0, 0}, {0, 0}} (with IAV same); floating 0; on screen NO; multiple scenes YES;  intersectable YES; snapshot YES>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	TX signalKeyboardChanged
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	prepareToMoveKeyboard: set currentKeyboard:N
Nov  7 19:35:54	Bens-iPhone	Notice	34	SpringBoard(KeyboardArbiter)	RX com.apple.SafariViewService(3464) notifyIAVHeight:0.0 (was 44.0)
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	-[_UIRemoteKeyboards prepareToMoveKeyboard:withIAV:isIAVRelevant:showing:notifyRemote:forScene:] position: {{0, 0}, {0, 0}} visible: 0; notifyRemote: 1; isMinimized: NO
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet: <<UIInputViewSet: 0xc4a1cc480>; (empty)> windowScene: <_UIScreenBasedWindowScene: 0xc4a2e4000; role: _UIScreenBasedSceneSession; persistentIdentifier: 4C64A983-917E-447D-8D87-F413C1732007; activationState: UISceneActivationStateForegroundActive>
Nov  7 19:35:54	Bens-iPhone	Notice	3445	InputUI(RunningBoardServices)	Received state update for 3445 (osservice<com.apple.InputUI>, unknown-NotVisible
Nov  7 19:35:54	Bens-iPhone	Notice	34	SpringBoard(SpringBoard)	Application process state changed for com.apple.InputUI: <SBApplicationProcessState: 0xdbfa97280; pid: 3445; taskState: Running; visibility: Background>
Nov  7 19:35:54	Bens-iPhone	Notice	3445	InputUI(RemoteTextInput)	-[RTIInputSystemServiceSession endRemoteTextInputSessionWithID:options:completion:]  End input session: <private>
Nov  7 19:35:54	Bens-iPhone	Notice	68	backboardd(AttentionAwareness)	117136.28140: notify client com.apple.siri.AttentionAwareness.Touch of <AWAttentionLostEvent: 0xb1228ca40> (timestamp:  117136.28136 attentionLostTimeout       0.10000 tagIndex 0 (tag not present in server))
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Invalidating assertion 33-3464-56379 (target:osservice<com.apple.InputUI>) from originator [app<com.apple.SafariViewService(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3464]
Nov  7 19:35:54	Bens-iPhone	Notice	34	SpringBoard(FrontBoard)	[osservice<com.apple.InputUI>:3445] Setting process task state to: Running
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	Handling responseContextDidChange - existing: <private>, new: <private>
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Invalidating assertion 33-3464-56378 (target:osservice<com.apple.InputUI>) from originator [app<com.apple.SafariViewService(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3464]
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(RemoteTextInput)	-[RTIInputSystemClient _modifyTextEditingAllowedForReason:notify:animated:modifyAllowancesBlock:completion:]  Text editing allowed did change (editingAllowedAfter = NO)
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(RemoteTextInput)	-[RTIInputSystemClient endAllowingRemoteTextInput:completion:]  End allowing remote text input: <private>
Nov  7 19:35:54	Bens-iPhone	Notice	34	SpringBoard(RunningBoardServices)	Received state update for 3445 (osservice<com.apple.InputUI>, running-active-NotVisible
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	setting abstract target for <RBSAssertionDescriptor| "BSNSXPCTransport[C:3-1]" ID:33-3464-56379 target:osservice<com.apple.InputUI> attributes:[
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Assertion 33-3464-56379 (target:osservice<com.apple.InputUI>) will be created as active
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Acquiring assertion targeting osservice<com.apple.InputUI> from originator [app<com.apple.SafariViewService(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3464] with description <RBSAssertionDescriptor| "BSNSXPCTransport[C:3-1]" ID:33-3464-56379 target:osservice<com.apple.InputUI> attributes:[
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	[osservice<com.apple.InputUI>:3445] Set darwin role to: NonUserInteractive
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(AppServerSupport)	<OSLaunchdJob | handle=C4CBD284-E5BA-4D37-8C15-D4139CE5841C>: copyJobWithHandle: created a job
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	[osservice<com.apple.InputUI>:3445] Resuming task.
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Calculated state for osservice<com.apple.InputUI>: running-active (role: NonUserInteractive) (endowments: (null))
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	[osservice<com.apple.InputUI>:3445] Set jetsam priority to 40 [0] flag[1]
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(RemoteTextInput)	-[RTIInputSystemClient _endSessionWithID:forServices:options:completion:]  End input session: <private>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(RemoteTextInput)	-[RTIInputSystemClient endRemoteTextInputSessionWithID:options:completion:]  Ending text input session. sessionID = <private>, options = <private>
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	setting abstract target for <RBSAssertionDescriptor| "BSNSXPCTransport[C:3-1]" ID:33-3464-56378 target:osservice<com.apple.InputUI> attributes:[
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Assertion 33-3464-56378 (target:osservice<com.apple.InputUI>) will be created as active
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(RunningBoard)	Acquiring assertion targeting osservice<com.apple.InputUI> from originator [app<com.apple.SafariViewService(D83E4367-CFED-45E6-8E15-671B2A5133EA)>:3464] with description <RBSAssertionDescriptor| "BSNSXPCTransport[C:3-1]" ID:33-3464-56378 target:osservice<com.apple.InputUI> attributes:[
Nov  7 19:35:54	Bens-iPhone	Notice	33	runningboardd(AppServerSupport)	<OSLaunchdJob | handle=C4CBD284-E5BA-4D37-8C15-D4139CE5841C>: copyJobWithHandle: created a job
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	-_teardownExistingDelegate:<WKContentView: 0xc4a225400> forSetDelegate:(nil) force:NO delayEndInputSession:NO
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(BackBoardServices)	currently observing: NO
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(BackBoardServices)	currently observing: YES
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	_inputViewsForResponder, disableAutomaticKeyboardUI return empty
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	_inputViewsForResponder: <WKContentView: 0xc4a225400; frame = (0 0; 393 644); >, automaticKeyboard: 1, force: 0
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	_reloadInputViewsForKeyWindowSceneResponder: 1 force: 0, fromBecomeFirstResponder: 0 (automaticKeyboard: 1, reloadIdentifier: F08EC579-BD62-4CE3-823F-36A80F84645C)
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	Reloading input views for: <WKContentView: 0xc4a225400; frame = (0 0; 393 644); > force: 0
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet, returning -> <UIInputViewSetPlacementOnScreenWithAccessory>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet: <<UIInputViewSet: 0xc4ad6a580>; keyboard = <UIKeyboardAutomatic: 0xc4aadde00; frame = (0 0; 393 233); opaque = NO; layer = <CALayer: 0xc4abd5260>>%; accessory = <WKFormAccessoryView: 0xc4aacc900; baseClass = UIInputView; frame = (0 0; 393 44); >; usesKeyClicks = NO;  > windowScene: <_UIScreenBasedWindowScene: 0xc4a2e4000; role: _UIScreenBasedSceneSession; persistentIdentifier: 4C64A983-917E-447D-8D87-F413C1732007; activationState: UISceneActivationStateForegroundActive>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet, returning -> <UIInputViewSetPlacementOnScreenWithAccessory>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet: <<UIInputViewSet: 0xc4ad6a580>; keyboard = <UIKeyboardAutomatic: 0xc4aadde00; frame = (0 0; 393 233); opaque = NO; layer = <CALayer: 0xc4abd5260>>%; accessory = <WKFormAccessoryView: 0xc4aacc900; baseClass = UIInputView; frame = (0 0; 393 44); >; usesKeyClicks = NO;  > windowScene: <_UIScreenBasedWindowScene: 0xc4a2e4000; role: _UIScreenBasedSceneSession; persistentIdentifier: 4C64A983-917E-447D-8D87-F413C1732007; activationState: UISceneActivationStateForegroundActive>
Nov  7 19:35:54	Bens-iPhone	Notice	3464	SafariViewService(UIKitCore)	endPlacementForInputViewSet, returning -> <UIInputViewSetPlacementOnScreenWithAccessory>
