Time	Device Name	Type	PID	Tag	Message
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> _hasListeningTopics YES
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> _toggleWiFiAutoAssociateIfN
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> wifi is historically cheap? YES  awakePercentage = 0.000000,  wifiGrowAttemptDelta 0  wifiKeepAliveInterval 0.000000
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> _connectStream has None preference and dual channel is enabled.
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> calling _connectStream with interface preference None
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	APSUserCourier <private> adjusting connection. Connected on 2 interfaces. Current link quality: <private>
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private>: handleDualModeState isDualChannelAllowed YES
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> resetting consecutive failures because we have at least one connection
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private>: Received delegate call: shouldUseDualMode is set to YES
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> _toggleWiFiAutoAssociateIfNecessary enabling wifi auto association highEnoughPushCost YES  wifiHistoricallyOK YES  serverLoadIsOK YES criticalReliability NO  serverSupportsDualMode YES  _dualMode 0 enableDualMode YES disableCostDrivenDualMode NO isPiggybacking NO isWoWEnabled YES isUltraConstrained NO
Nov  8 21:04:16	Bens-iPhone	Notice	138	apsd	<private> wifi is historically cheap? YES  awakePercentage = 0.000000,  wifiGrowAttemptDelta 1  wifiKeepAliveInterval 600.000000
Nov  8 21:04:16	Bens-iPhone	Notice	68	backboardd(CoreBrightness)	BaselineHarmony: Current strength: 0.270000, ALSStrength: 0.270000, AppStrength: 0.270000
Nov  8 21:04:16	Bens-iPhone	Notice	68	backboardd(CoreBrightness)	BaselineHarmony: Current strength: 0.270000, ALSStrength: 0.270000, AppStrength: 0.270000
Nov  8 21:04:16	Bens-iPhone	Notice	68	backboardd(CoreBrightness)	BaselineHarmony: Current strength: 0.270000, ALSStrength: 0.270000, AppStrength: 0.270000
Nov  8 21:04:16	Bens-iPhone	Notice	68	backboardd(CoreBrightness)	BaselineHarmony: Current strength: 0.270000, ALSStrength: 0.270000, AppStrength: 0.270000
Nov  8 21:04:16	Bens-iPhone	Notice	68	backboardd(CoreBrightness)	BaselineHarmony: Current strength: 0.270000, ALSStrength: 0.270000, AppStrength: 0.270000
Nov  8 21:04:16	Bens-iPhone	Notice	68	backboardd(CoreBrightness)	BaselineHarmony: Current strength: 0.270000, ALSStrength: 0.270000, AppStrength: 0.270000
Nov  8 21:04:16	Bens-iPhone	Notice	68	backboardd(CoreBrightness)	BaselineHarmony: Current strength: 0.270000, ALSStrength: 0.270000, AppStrength: 0.270000
Nov  8 21:04:16	Bens-iPhone	Notice	199	homed(Security)	SecSecurityClientGet new thread!
